INFO 2022-06-15 18:52:55,682 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,682 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,682 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,683 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,683 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,683 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,683 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,683 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,683 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,683 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,683 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,683 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,683 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,683 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,684 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,684 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,684 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,684 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,684 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,684 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,684 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,684 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,684 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,684 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,684 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,684 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,685 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,685 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,685 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,685 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,685 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,685 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,685 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,685 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,685 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,685 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,685 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,685 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,686 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,686 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
INFO 2022-06-15 18:52:55,687 -  Tools.spgr2d_func called
